"ID";"Status";"Name";"Art";"Familie";"Assetpfad";"GUID";"Tris";"Renderer";"Aktive Renderer";"Meshes";"Materialslots";"Materialien";"Collider";"Bones";"Root Bones";"Animator Controller";"Clips";"Prefab-Referenzen";"Daten-Referenzen";"Szenen";"Builder-Kandidaten";"Root Transform";"Bounds Center";"Bounds Size";"Standard-Low";"Gameplay-Low";"Capture-Fehler"
"MP0-0001";"fallback";"AshRunner";"Importiertes Modell";"Figuren/Kreaturen";"Assets/_Game/Art/Actors/AshRunner/AshRunner3D/AshRunner.glb";"b932d02d318892c49b20d226df0d2b3b";"1698";"1";"1";"1";"1";"Assets/_Game/Art/Actors/AshRunner/AshRunner3D/AshRunner.glb";"";"chest | footFL | footFR | footRL | footRR | head | hips | jaw | legFL_lo | legFL_up | legFR_lo | legFR_up | legRL_lo | legRL_up | legRR_lo | legRR_up | neck | root | spine | tail1 | tail2 | tail3";"root";"";"Angriff | Erscheinen | Gehen | Ruhe | Taumeln | Telegraph | Tod | Treffer";"Assets/_Game/Prefabs/Actors/3D/AshRunner_3D.prefab | Assets/_Game/Prefabs/Enemies/Forge/AshRunner.prefab";"Assets/_Game/Data/Enemies/Forge/AshRunner.asset";"Assets/_Game/Scenes/EidraForge.unity";"Assets/_Game/Editor/CreatureMeshBuilder.cs";"position=(0,0,0) rotation=(0,0,0) scale=(1,1,1)";"(0,0.916893,-0.300313)";"(1.071741,1.8,2.570678)";"Captures/Standard_Low/MP0-0001_AshRunner.png";"Captures/Gameplay_Low/MP0-0001_AshRunner.png";""
"MP0-0002";"fallback";"CoreGuardian";"Importiertes Modell";"Figuren/Kreaturen";"Assets/_Game/Art/Actors/CoreGuardian/CoreGuardian3D/CoreGuardian.glb";"9f9caf10cd5ad2d4d815561b1e569cc9";"1288";"1";"1";"1";"1";"Assets/_Game/Art/Actors/CoreGuardian/CoreGuardian3D/CoreGuardian.glb";"";"armL_fore | armL_up | armR_fore | armR_up | chest | footL | footR | handL | handR | head | hips | root | shinL | shinR | spine | thighL | thighR";"root";"";"Angriff | Erscheinen | Gehen | Ruhe | Taumeln | Telegraph | Tod | Treffer";"Assets/_Game/Prefabs/Actors/3D/CoreGuardian_3D.prefab | Assets/_Game/Prefabs/Enemies/Forge/CoreGuardian.prefab";"";"Assets/_Game/Scenes/EidraForge.unity";"Assets/_Game/Editor/CreatureMeshBuilder.cs";"position=(0,0,0) rotation=(0,0,0) scale=(1,1,1)";"(0,2.293689,0.320388)";"(3.029126,4.5,2.097087)";"Captures/Standard_Low/MP0-0002_CoreGuardian.png";"Captures/Gameplay_Low/MP0-0002_CoreGuardian.png";""
"MP0-0003";"fallback";"EmberEater";"Importiertes Modell";"Figuren/Kreaturen";"Assets/_Game/Art/Actors/EmberEater/EmberEater3D/EmberEater.glb";"27aba9d977ff0e34982f0ae1176c507c";"1450";"1";"1";"1";"1";"Assets/_Game/Art/Actors/EmberEater/EmberEater3D/EmberEater.glb";"";"armL_fore | armL_up | armR_fore | armR_up | chest | footL | footR | handL | handR | head | hips | root | shinL | shinR | spine | thighL | thighR";"root";"";"Angriff | Erscheinen | Gehen | Ruhe | Taumeln | Telegraph | Tod | Treffer";"Assets/_Game/Prefabs/Actors/3D/EmberEater_3D.prefab | Assets/_Game/Prefabs/Enemies/Forge/EmberEater.prefab";"Assets/_Game/Data/Enemies/Forge/EmberEater.asset";"Assets/_Game/Scenes/EidraForge.unity";"Assets/_Game/Editor/CreatureMeshBuilder.cs";"position=(0,0,0) rotation=(0,0,0) scale=(1,1,1)";"(0,0.815238,0.155619)";"(1.313829,1.6,1.585143)";"Captures/Standard_Low/MP0-0003_EmberEater.png";"Captures/Gameplay_Low/MP0-0003_EmberEater.png";""
"MP0-0004";"fallback";"ForgeGuardian";"Importiertes Modell";"Figuren/Kreaturen";"Assets/_Game/Art/Actors/ForgeGuardian/ForgeGuardian3D/ForgeGuardian.glb";"469cdc0e26cdff64286fe38fe24fe50f";"1296";"1";"1";"1";"1";"Assets/_Game/Art/Actors/ForgeGuardian/ForgeGuardian3D/ForgeGuardian.glb";"";"armL_fore | armL_up | armR_fore | armR_up | chest | footL | footR | handL | handR | head | hips | root | shinL | shinR | spine | thighL | thighR";"root";"";"Angriff | Erscheinen | Gehen | Ruhe | Taumeln | Telegraph | Tod | Treffer";"Assets/_Game/Prefabs/Actors/3D/ForgeGuardian_3D.prefab | Assets/_Game/Prefabs/Enemies/Forge/ForgeGuardian.prefab";"Assets/_Game/Data/Enemies/Forge/ForgeGuardian.asset";"Assets/_Game/Scenes/EidraForge.unity";"Assets/_Game/Editor/EidraForgeEnemyContentBuilder.cs | Assets/_Game/Editor/EidraForgeGeometryBuilder.cs | Assets/_Game/Editor/EidraForgeLichtBuilder.cs | Assets/_Game/Editor/EidraForgeLootAssetBuilder.cs | Assets/_Game/Editor/EidraForgePropBuilder.cs | Assets/_Game/Editor/EidraForgeSceneBuilder.cs | Assets/_Game/Editor/ForgeContainerVisualBuilder.cs | Assets/_Game/Editor/ForgeVisualAssetBuilder.cs";"position=(0,0,0) rotation=(0,0,0) scale=(1,1,1)";"(-0.061738,1.272866,0.045732)";"(1.571646,2.5,0.853659)";"Captures/Standard_Low/MP0-0004_ForgeGuardian.png";"Captures/Gameplay_Low/MP0-0004_ForgeGuardian.png";""
"MP0-0005";"fallback";"Garon";"Importiertes Modell";"Figuren/Kreaturen";"Assets/_Game/Art/Actors/Garon/Garon3D/Garon.glb";"61b3a9b8d3efbf44d96406ababd8d434";"2000";"1";"1";"1";"1";"Assets/_Game/Art/Actors/Garon/Garon3D/Garon.glb";"";"chest | footFL | footFR | footRL | footRR | head | hips | jaw | legFL_lo | legFL_up | legFR_lo | legFR_up | legRL_lo | legRL_up | legRR_lo | legRR_up | neck | root | spine | tail1 | tail2 | tail3";"root";"";"Ansturm | Frontschlag | Gehen | Rueckkehr | Ruhe | Taumeln | Tod | Treffer | Wirbel";"Assets/_Game/Prefabs/Actors/3D/Garon_3D.prefab | Assets/_Game/Prefabs/Bosses/Garon.prefab";"";"Assets/_Game/Scenes/EidraForge.unity | Assets/_Game/Scenes/Zone_EmberRuins.unity";"Assets/_Game/Editor/CreatureMeshBuilder.cs";"position=(0,0,0) rotation=(0,0,0) scale=(1,1,1)";"(0.086135,2.282208,0.345092)";"(3.761227,4.5,6.855828)";"Captures/Standard_Low/MP0-0005_Garon.png";"Captures/Gameplay_Low/MP0-0005_Garon.png";""
"MP0-0006";"fallback";"GraniteShell";"Importiertes Modell";"Figuren/Kreaturen";"Assets/_Game/Art/Actors/GraniteShell/GraniteShell3D/GraniteShell.glb";"2c62d83b05e79574086f340fd32b2e1f";"1756";"1";"1";"1";"1";"Assets/_Game/Art/Actors/GraniteShell/GraniteShell3D/GraniteShell.glb";"";"chest | footFL | footFR | footRL | footRR | head | hips | jaw | legFL_lo | legFL_up | legFR_lo | legFR_up | legRL_lo | legRL_up | legRR_lo | legRR_up | neck | root | spine";"root";"";"Angriff | Erscheinen | Gehen | Ruhe | Taumeln | Telegraph | Tod | Treffer";"Assets/_Game/Prefabs/Actors/3D/GraniteShell_3D.prefab | Assets/_Game/Prefabs/Enemies/TierTwo/GraniteShell.prefab";"Assets/_Game/Data/Enemies/GraniteShell.asset | Assets/_Game/Data/Zones/Zone_EmberRuins.asset | Assets/_Game/Data/Zones/Zone_GreyRifts.asset | Assets/_Game/Data/Zones/Zone_TwilightGrove.asset | Assets/_Game/Data/Zones/Zone_VeilMarsh.asset";"Assets/_Game/Scenes/Zone_EmberRuins.unity | Assets/_Game/Scenes/Zone_GreyRifts.unity | Assets/_Game/Scenes/Zone_TwilightGrove.unity | Assets/_Game/Scenes/Zone_VeilMarsh.unity";"Assets/_Game/Editor/CreatureMeshBuilder.cs";"position=(0,0,0) rotation=(0,0,0) scale=(1,1,1)";"(0,1.223343,0.269194)";"(2.303959,2.400089,3.081415)";"Captures/Standard_Low/MP0-0006_GraniteShell.png";"Captures/Gameplay_Low/MP0-0006_GraniteShell.png";""
"MP0-0007";"fallback";"Ignivar";"Importiertes Modell";"Figuren/Kreaturen";"Assets/_Game/Art/Actors/Ignivar/Ignivar3D/Ignivar.glb";"cd31036a7ebc8804bbbef23f12824217";"2114";"1";"1";"1";"1";"Assets/_Game/Art/Actors/Ignivar/Ignivar3D/Ignivar.glb";"";"chest | footFL | footFR | footRL | footRR | head | hips | jaw | legFL_lo | legFL_up | legFR_lo | legFR_up | legRL_lo | legRL_up | legRR_lo | legRR_up | neck | root | spine | tail1 | tail2 | tail3";"root";"";"Angriff | Erscheinen | Gehen | Ruhe | Taumeln | Telegraph | Tod | Treffer";"Assets/_Game/Prefabs/Actors/3D/Ignivar_3D.prefab | Assets/_Game/Resources/Prefabs/Actors/3D/Ignivar_3D.prefab";"";"";"Assets/_Game/Editor/CreatureMeshBuilder.cs | Assets/_Game/Editor/IgnivarContentBuilder.cs";"position=(0,0,0) rotation=(0,0,0) scale=(1,1,1)";"(0,0.506362,-0.150073)";"(0.656905,1.000105,1.30969)";"Captures/Standard_Low/MP0-0007_Ignivar.png";"Captures/Gameplay_Low/MP0-0007_Ignivar.png";""
"MP0-0008";"fallback";"MoorThrower";"Importiertes Modell";"Figuren/Kreaturen";"Assets/_Game/Art/Actors/MoorThrower/MoorThrower3D/MoorThrower.glb";"b2d5f5c7b98fc6b4fbe221742c99a735";"1736";"1";"1";"1";"1";"Assets/_Game/Art/Actors/MoorThrower/MoorThrower3D/MoorThrower.glb";"";"armL_fore | armL_up | armR_fore | armR_up | chest | footL | footR | handL | handR | head | hips | root | shinL | shinR | spine | thighL | thighR";"root";"";"Angriff | Erscheinen | Gehen | Ruhe | Taumeln | Telegraph | Tod | Treffer";"Assets/_Game/Prefabs/Actors/3D/MoorThrower_3D.prefab | Assets/_Game/Prefabs/Enemies/TierTwo/MoorThrower.prefab";"Assets/_Game/Data/Enemies/MoorThrower.asset | Assets/_Game/Data/Loot/WorldChests/GreyRifts.asset | Assets/_Game/Data/Loot/WorldChests/TwilightGrove.asset | Assets/_Game/Data/Loot/WorldChests/VeilMarsh.asset | Assets/_Game/Data/Zones/Zone_EmberRuins.asset | Assets/_Game/Data/Zones/Zone_GreyRifts.asset | Assets/_Game/Data/Zones/Zone_Marsh.asset | Assets/_Game/Data/Zones/Zone_TwilightGrove.asset | Assets/_Game/Data/Zones/Zone_VeilMarsh.asset";"Assets/_Game/Scenes/Zone_EmberRuins.unity | Assets/_Game/Scenes/Zone_GreyRifts.unity | Assets/_Game/Scenes/Zone_Marsh.unity | Assets/_Game/Scenes/Zone_TwilightGrove.unity | Assets/_Game/Scenes/Zone_VeilMarsh.unity";"Assets/_Game/Editor/CreatureMeshBuilder.cs";"position=(0,0,0) rotation=(0,0,0) scale=(1,1,1)";"(0.037624,0.968812,0.173199)";"(1.272937,1.9,0.93908)";"Captures/Standard_Low/MP0-0008_MoorThrower.png";"Captures/Gameplay_Low/MP0-0008_MoorThrower.png";""
"MP0-0009";"fallback";"Noctarion";"Importiertes Modell";"Figuren/Kreaturen";"Assets/_Game/Art/Actors/Noctarion/Noctarion3D/Noctarion.glb";"b7daee05003967a42a70e50d2f4fb05a";"1666";"1";"1";"1";"1";"Assets/_Game/Art/Actors/Noctarion/Noctarion3D/Noctarion.glb";"";"chest | footFL | footFR | footRL | footRR | head | hips | jaw | legFL_lo | legFL_up | legFR_lo | legFR_up | legRL_lo | legRL_up | legRR_lo | legRR_up | neck | root | spine | tail1 | tail2 | tail3";"root";"";"Erscheinen | Flucht | Gehen | Ruhe | Schattenmal | Schattenschritt | Taumeln | Telegraph | Treffer | Wildangriff";"Assets/_Game/Prefabs/Actors/3D/Noctarion_3D.prefab | Assets/_Game/Resources/Prefabs/Actors/3D/Noctarion_3D.prefab";"";"";"Assets/_Game/Editor/CreatureMeshBuilder.cs | Assets/_Game/Editor/Tests/NoctarionSpriteVisualTests.cs";"position=(0,0,0) rotation=(0,0,0) scale=(1,1,1)";"(0,0.508919,-0.183946)";"(0.530123,1,1.817168)";"Captures/Standard_Low/MP0-0009_Noctarion.png";"Captures/Gameplay_Low/MP0-0009_Noctarion.png";""
"MP0-0010";"fallback";"Wanderer";"Importiertes Modell";"Figuren/Kreaturen";"Assets/_Game/Art/Actors/Player/Wanderer3D/Wanderer.glb";"3a8a17a3ea0ef144cb83d049ef83cf7f";"6506";"19";"19";"19";"19";"Assets/_Game/Art/Actors/Player/Wanderer3D/Wanderer.glb";"";"armL_fore | armL_up | armR_fore | armR_up | dagL | dagR | footL | footR | handL | handR | head | hips | root | shinL | shinR | skirt | spine | staff | thighL | thighR";"root";"";"Abbau_Axt | Abbau_Sense | Abbau_Spitzhacke | Angriff_Dolche | Angriff_Hammer | Angriff_Speer | Gehen_Axt | Gehen_Dolche | Gehen_Hammer | Gehen_Sense | Gehen_Speer | Gehen_Spitzhacke | Laufen_Axt | Laufen_Dolche | Laufen_Hammer | Laufen_Sense | Laufen_Speer | Laufen_Spitzhacke | Oeffnen | Ruhe_Axt | Ruhe_Dolche | Ruhe_Hammer | Ruhe_Sense | Ruhe_Speer | Ruhe_Spitzhacke";"Assets/_Game/Prefabs/Actors/3D/Player_3D.prefab | Assets/_Game/Prefabs/Player/Player.prefab";"";"Assets/_Game/Scenes/EidraForge.unity | Assets/_Game/Scenes/HomeBase.unity | Assets/_Game/Scenes/Zone_EmberRuins.unity | Assets/_Game/Scenes/Zone_Greenwood.unity | Assets/_Game/Scenes/Zone_GreyRifts.unity | Assets/_Game/Scenes/Zone_Marsh.unity | Assets/_Game/Scenes/Zone_Quarry.unity | Assets/_Game/Scenes/Zone_TwilightGrove.unity | Assets/_Game/Scenes/Zone_VeilMarsh.unity";"Assets/_Game/Editor/CreatureMeshBuilder.cs | Assets/_Game/Editor/Tests/Wanderer3DAssetTests.cs | Assets/_Game/Editor/Wanderer3DImportDiagnose.cs | Assets/_Game/Editor/Wanderer3DPlayerBuilder.cs";"position=(0,0,0) rotation=(0,0,0) scale=(1,1,1)";"(-0.017,1.097,0.2045)";"(0.672,2.194,0.845)";"Captures/Standard_Low/MP0-0010_Wanderer.png";"Captures/Gameplay_Low/MP0-0010_Wanderer.png";""
