Editor-Skript;SHA256;Generierungs-Indikatoren
"Assets/_Game/Editor/AltlastLoescher.cs";"e044b20916597e6083e6b8ba226b30228660a7da18005995302099d0f7880b77";"AssetDatabase.DeleteAsset"
"Assets/_Game/Editor/AreaArtAssetBuilder.cs";"0c372c7cabe965ec60b19e202e10b831816cac37acae2844a84d23818c271713";"AssetDatabase.CreateAsset"
"Assets/_Game/Editor/AreaArtGroundBuilder.cs";"a887ef22cd33d434e47ff374ebeb59bb2d90df08e5cc476592f76fada83c3367";"AssetDatabase.CreateAsset"
"Assets/_Game/Editor/AreaArtVariantPrefabBuilder.cs";"076a2bbb9ace179676085f4edf1f2aceb7c7e86c2f8f8126e126dbbb3921be72";"AssetDatabase.CreateAsset | PrefabUtility.SaveAsPrefabAsset | AssetDatabase.DeleteAsset | MeshFactory"
"Assets/_Game/Editor/AudioContentBuilder.cs";"f2d37bcca480053099a718f10edf9b2de9804fc8ccdfff8c4ba82ec6398d1ef8";"AssetDatabase.CreateAsset"
"Assets/_Game/Editor/BuildGridOverlayContentBuilder.cs";"e8eb94980f68c12cd2e9a028be993953b06c8754742621b571b5820b23c3ef57";"AssetDatabase.CreateAsset | PrefabUtility.SaveAsPrefabAsset"
"Assets/_Game/Editor/BuildGridPhysicsBuilder.cs";"f99019ea69b79730f4556f860387e9b35b230040e6eccfb3b2972a370306866b";"PrefabUtility.SaveAsPrefabAsset"
"Assets/_Game/Editor/BuildingCostContentBuilder.cs";"72153a7c9fdcff52417a2bbfbf92d03cc322ddf29de473aba5ed072ebf54e9f7";"AssetDatabase.CreateAsset"
"Assets/_Game/Editor/BuildingDoorContentBuilder.cs";"50e23b8681eacb4cc52eb0284db862e82995b873ef35554963e75de7b8fffbbb";"PrefabUtility.SaveAsPrefabAsset"
"Assets/_Game/Editor/BuildingIconRenderTool.cs";"d96fc40bad925d430cb6983c48e6168314e7db3808cb2450115d401a6fe94146";"File.WriteAllBytes"
"Assets/_Game/Editor/BuildingMenuUiBuilder.cs";"2d026b30667477e983f0d904faef877dc8c09e627d33d27bb2013afb422f8568";"PrefabUtility.SaveAsPrefabAsset"
"Assets/_Game/Editor/BuildingPreviewContentBuilder.cs";"dee94e7b05e6d4b51e810abc5eb60812b101d3fa8da2edce9dad472f48a5f00d";"AssetDatabase.CreateAsset | PrefabUtility.SaveAsPrefabAsset"
"Assets/_Game/Editor/BuildingRoofContentBuilder.cs";"88d23ca5d2cd2c59692b5410b35eac7736f9f6ffd92f55e5210c04e32d23c2bd";"AssetDatabase.CreateAsset | PrefabUtility.SaveAsPrefabAsset"
"Assets/_Game/Editor/CopperMiningFeedbackRebuilder.cs";"39c489a669e139feb191c07a1bda13b60a8878c5cf00b843f7e21e85296d271d";"AssetDatabase.CreateAsset | PrefabUtility.SaveAsPrefabAsset | Rebuild"
"Assets/_Game/Editor/CraftingContentBuilder.cs";"f0283c09372b258f032f5c60e6966675d4d6ecda44bba1706174d051c7b79553";"PrefabUtility.SaveAsPrefabAsset | Rebuild"
"Assets/_Game/Editor/CraftingRecipeTable.cs";"39c687c823dc48fc6c0c6ba8b6c7b33b1557f0eb9d88247cbe2e40b7904b69f4";"AssetDatabase.CreateAsset"
"Assets/_Game/Editor/CreatureEnemyRewire.cs";"f8e0c1816f73bde44356618d132e3e7c8a037ff98c2d2f8131d6422085f5f2d7";"PrefabUtility.SaveAsPrefabAsset"
"Assets/_Game/Editor/CreatureMeshBuilder.cs";"fe74116ef1c5e479947173b4c690b2c8e2989be09c06f8b79804a24838d1890d";"AssetDatabase.CreateAsset | PrefabUtility.SaveAsPrefabAsset"
"Assets/_Game/Editor/CreatureSichtCapture.cs";"09ec836a5294fd3ec7da3af7e0dfe5a10fd66f33079c2a78dd472e683c6fca05";"File.WriteAllBytes | Rebuild"
"Assets/_Game/Editor/EidraCaptureContentBuilder.cs";"7759f93df7c6c6a5589123dcb99700960992e9704a38f8ac906b8b7b7c5651f6";"AssetDatabase.CreateAsset | PrefabUtility.SaveAsPrefabAsset | Rebuild"
"Assets/_Game/Editor/EidraForgeEnemyContentBuilder.cs";"8327f2990fc0528ee41d3f631e49f0b9838b9b55ab202fbf46f3bec52fb56188";"AssetDatabase.CreateAsset | PrefabUtility.SaveAsPrefabAsset | Rebuild"
"Assets/_Game/Editor/EidraForgeGeometryBuilder.cs";"0687115281e9f22fb4f881a010c1e2929baee228cbbc2dc251c3f1e779b794f4";"MeshFactory"
"Assets/_Game/Editor/EidraForgeLootAssetBuilder.cs";"9f7bae009ec1646ca5380bdfd08ec11f6b35fd6d8aa24d910720966b1eead05d";"AssetDatabase.CreateAsset"
"Assets/_Game/Editor/EidraForgePropBuilder.cs";"a94d69cb17f88027faf1e8846a9540a6cc65abeec4651958f7e380059379c527";"MeshFactory"
"Assets/_Game/Editor/EidraForgeSceneBuilder.cs";"90cf6c953ec21e54d6b089d6f1c98aa5d3e4099fae2eb6855e97d2bb5532e76a";"AssetDatabase.CreateAsset | Rebuild"
"Assets/_Game/Editor/EidraTeamUiPrefabBuilder.cs";"0543463ab2f169db318a004ada7035788b69474ebccf34d250af413a8c2fb1da";"PrefabUtility.SaveAsPrefabAsset"
"Assets/_Game/Editor/EidraVisual3DBuilder.cs";"ba7d35b608950c89bb19c86c2f31f05e2f22c41861118c2b5afa4630f43aa70c";"PrefabUtility.SaveAsPrefabAsset"
"Assets/_Game/Editor/EidrenBuildingVisualBuilder.cs";"7f24379dbbb1798316859dc04d3a800ba75e4f738267c6384ef4462572fc0557";"AssetDatabase.CreateAsset | PrefabUtility.SaveAsPrefabAsset | AssetDatabase.DeleteAsset | MeshFactory | BuildStandalone | Rebuild"
"Assets/_Game/Editor/EidrenMeshFactory.cs";"ae414de3578dfb9af65d8ede42853fc4b9877a3f460f324ec913ae48c10e589a";"MeshFactory"
"Assets/_Game/Editor/EidrenSceneStructureBuilder.cs";"3038d950913f82468ad120b8dbf40c2737a64e8827b5af69b76c0ba061828f22";"AssetDatabase.CreateAsset | Rebuild"
"Assets/_Game/Editor/EidrenWorldStyleAssets.cs";"cf77da9c44262af781ac1786c6b6590113facc2d53687fd879175a248be137f0";"AssetDatabase.CreateAsset"
"Assets/_Game/Editor/EnemyStatusBarsRebuilder.cs";"c183c99f778fac238676f0bcb8dcb71f8a7bd7ad84509f5323244ddeba51b5ef";"PrefabUtility.SaveAsPrefabAsset | Rebuild"
"Assets/_Game/Editor/FarmPlotVisualRebuilder.cs";"1a3ba7aa433111059b73dab08a252459031771c650f2d81a4450222f25ab985b";"AssetDatabase.CreateAsset | PrefabUtility.SaveAsPrefabAsset | Rebuild"
"Assets/_Game/Editor/FixCollectionEnemyBarBuilder.cs";"00ad74595facb7a7efdc9d2c3a4760218122bbdd3c0781e765d893a74a7277ee";"PrefabUtility.SaveAsPrefabAsset"
"Assets/_Game/Editor/FixCollectionHudBuilder.cs";"386b3961a2120d962a4b70f4ee1e146f91357fd001a2d7d28f8daf57fe191d44";"PrefabUtility.SaveAsPrefabAsset | File.WriteAllBytes"
"Assets/_Game/Editor/ForgeContainerVisualBuilder.cs";"740c931703d12b4ac489965c23b6f606da686bf9da4257d1ac58f31877f0a3c4";"AssetDatabase.CreateAsset | PrefabUtility.SaveAsPrefabAsset | MeshFactory"
"Assets/_Game/Editor/ForgeGlowProbe.cs";"4ddf05d0711671585124eb43fd4575f6d0920ff97280f389b1e475ce135aee52";"File.WriteAllBytes | MeshFactory"
"Assets/_Game/Editor/ForgeLayoutCapture.cs";"a36fb25daaa8f1e4ed3c6abec4074a388c20dfc8a1bc8b234a8866ab920d67f8";"File.WriteAllBytes"
"Assets/_Game/Editor/ForgeLichtProbe.cs";"2bb2754d3458816a027e3d2f789a02912bf3d912f2765d7a5adb822e365ba72b";"MeshFactory"
"Assets/_Game/Editor/G002ZoneGroundCapture.cs";"d762f34a7466158cec741ec8fb912069c7a697bc72dcb8a21bc3c4dd2db7dd48";"File.WriteAllBytes"
"Assets/_Game/Editor/GaronEmberRuinsContentBuilder.cs";"55b76b24881db1f51505416fdc17dad003e062ad7bfedbb505cc2fc8dfc07a92";"AssetDatabase.CreateAsset | PrefabUtility.SaveAsPrefabAsset"
"Assets/_Game/Editor/HudTooltipBuilder.cs";"afa84030ebb6b2702b452e56fd01744c9b3d72233974fccfa400dcc94cbb4a32";"PrefabUtility.SaveAsPrefabAsset"
"Assets/_Game/Editor/IgnivarContentBuilder.cs";"d21076374d2517e13107c1899b6fe3cb091478381f00fda903d81d5ef77666ae";"AssetDatabase.CreateAsset"
"Assets/_Game/Editor/InventoryUiPrefabBuilder.cs";"d11e6260bb27c7426c1e23e9f307e16ce5bcbd5f69c62277e276769a80de6c0d";"PrefabUtility.SaveAsPrefabAsset"
"Assets/_Game/Editor/ItemContentAssetBuilder.cs";"2c4c07f9d8e2bcb81660247171d049380a70199dfc75cde51786ba8672d4567f";"AssetDatabase.CreateAsset"
"Assets/_Game/Editor/ItemIconFamilienToenung.cs";"82f86745d2067068832073e38b71dae68f9368d74fbecb961e70c236abce0c7f";"File.WriteAllBytes"
"Assets/_Game/Editor/KreaturenMapsAlphaStanzer.cs";"c2ba5e2ec26081219a301c9acafbee9b6349939b24fe5a33babdcc70fe802dc6";"File.WriteAllBytes"
"Assets/_Game/Editor/LoftWicklungRollout.cs";"4ed7029ebfe9176b4a3ba7812fe4b249617ad4708c1dba3f6541c096213b4b94";"File.WriteAllBytes | BuildStandalone | Rebuild"
"Assets/_Game/Editor/LootContentBuilder.cs";"c6278c2e57cb0c4a86494b1eccb955b30dcd3501ceaa819a6ca81885d1539015";"AssetDatabase.CreateAsset | PrefabUtility.SaveAsPrefabAsset"
"Assets/_Game/Editor/MidpolyPhase0Baseline.cs";"74c9578a1071ac71a78c0cfa1f8d32a5ade5762dee447851dad0f6fd172bd364";"AssetDatabase.CreateAsset | PrefabUtility.SaveAsPrefabAsset | AssetDatabase.DeleteAsset | File.WriteAllBytes | MeshFactory | BuildStandalone | Rebuild"
"Assets/_Game/Editor/MinimapHudBuilder.cs";"814908e81952679978b684bec57186e95b2f2bb3e20c682cda4100c467e6bef3";"PrefabUtility.SaveAsPrefabAsset"
"Assets/_Game/Editor/OcclusionFadeTwinMaterialBuilder.cs";"f2771b231aa1072edbc4f113ebe4c294aaf71ba91ef141157a06432bacdd9534";"AssetDatabase.CreateAsset"
"Assets/_Game/Editor/PauseSettingsContentBuilder.cs";"de91081e880c4ec975a918e001235f67b27bd9f6905d3310a1473974765c9311";"PrefabUtility.SaveAsPrefabAsset"
"Assets/_Game/Editor/PlayerDeathContentBuilder.cs";"4c7c7337e34024620743c6fba3ad20dbd60b7be664a904f3ad01365e9861c493";"PrefabUtility.SaveAsPrefabAsset"
"Assets/_Game/Editor/ProductionContentBuilder.cs";"9bb0851b5b293a4d363f59f630fe976a404128b2301dc904324559c704bf5da6";"PrefabUtility.SaveAsPrefabAsset"
"Assets/_Game/Editor/QuestChainContentBuilder.cs";"ddcc075ba4e78bd22e17e8cbdad4c19353f0bb1dcd8d532faea7a81136506c80";"AssetDatabase.CreateAsset"
"Assets/_Game/Editor/QuestHudBuilder.cs";"306dc1935cb762a37054175508bd549d0192aa67495d513fc720ece7a2cb919c";"PrefabUtility.SaveAsPrefabAsset"
"Assets/_Game/Editor/ResourceContentBuilder.cs";"32578aaa4baa4229212ee9825d4cfe0a0c18ad0d138f118b664f2ed30169ff89";"AssetDatabase.CreateAsset | PrefabUtility.SaveAsPrefabAsset | AssetDatabase.DeleteAsset | Rebuild"
"Assets/_Game/Editor/RestbaselineNachzug2.cs";"36d5f5a51692f2135c85fd8fc3edf9de3c1ea2d733e3cb7eaa513aec437778bb";"Rebuild"
"Assets/_Game/Editor/RipperRestRaeumung.cs";"788f2c737875abc60520f9415dbbd7f372e527043fb6ff35641d7d3b592e251a";"AssetDatabase.DeleteAsset"
"Assets/_Game/Editor/StorageContentBuilder.cs";"f111f1e2ad2a8d6bccc6f51395abef1a0422a3e5e206683b135445cfb8d1f857";"PrefabUtility.SaveAsPrefabAsset | Rebuild"
"Assets/_Game/Editor/StyleProofContentBuilder.cs";"714ff717ba3fa48590fc9af342f16288e34f5db01f3b0a15ae23baa40109f8fb";"AssetDatabase.CreateAsset | PrefabUtility.SaveAsPrefabAsset"
"Assets/_Game/Editor/StyleProofPlacementReport.cs";"700bf046285b065b58e65c86142cf46b65707d070375f5737c251e318502ebeb";"Rebuild"
"Assets/_Game/Editor/StyleProofPropBuilder.cs";"d590b97744830d13c7904b02a09f4ad8a724d7c7fc3f2ae6991326318de5d6c3";"AssetDatabase.CreateAsset | PrefabUtility.SaveAsPrefabAsset | AssetDatabase.DeleteAsset | MeshFactory | BuildStandalone"
"Assets/_Game/Editor/T1ResourceVisualBuilder.cs";"82c3e1a3fd70b455fa470de0f386a1eb7408e2a5ac86b3efa65249f0defd0322";"AssetDatabase.CreateAsset | PrefabUtility.SaveAsPrefabAsset | AssetDatabase.DeleteAsset | MeshFactory | BuildStandalone"
"Assets/_Game/Editor/T2ResourceVisualBuilder.cs";"f523166a2da356b7d24cf63f0b306f5374317660023000d346c9c0ca00d88f69";"AssetDatabase.CreateAsset | PrefabUtility.SaveAsPrefabAsset | AssetDatabase.DeleteAsset | MeshFactory | BuildStandalone"
"Assets/_Game/Editor/TechnologyTreeScrollBuilder.cs";"d380e58494282c1ff82c13032d0cf4bcb3e4119cb67c24195112a8fab1fb8ae1";"PrefabUtility.SaveAsPrefabAsset"
"Assets/_Game/Editor/Tests/BuildGridOverlayTests.cs";"c3e50919d1fa8e3a8c520bca64b94fa68195881c5fafc75e7d98f5fc55b2d496";"Rebuild"
"Assets/_Game/Editor/Tests/BuildingCatalogTests.cs";"9e2b985dae792bc2cd5788aa69ba3a63c837a3fcd0dc0eeaadf734c3c0ed84c8";"Rebuild"
"Assets/_Game/Editor/Tests/BuildingMenuCatalogLayoutTests.cs";"635f3aa325dac366bfcbe1553d3dc9e692e40322229135324f77e118e98d9db4";"Rebuild"
"Assets/_Game/Editor/Tests/EidrenMeshFactoryTests.cs";"455f7420419686b50eb663591cfc75923330d25016e0c3190120b16f45caa75a";"MeshFactory"
"Assets/_Game/Editor/Tests/EmberRuinsEntranceTests.cs";"da409afe89b5132a8d92d9f14306c78df5f062ce54eecd648b8e13678c2415ad";"Rebuild"
"Assets/_Game/Editor/Tests/EnemyStatusBarTests.cs";"2085814872271d0f736ce31937c52c84e23e1693554f7536fb325526f7214996";"Rebuild"
"Assets/_Game/Editor/Tests/ForgeWallColliderTests.cs";"64e863eec06a94e075f604f3d71c317d51f73782416639aa3ccec6fe2607641a";"Rebuild"
"Assets/_Game/Editor/Tests/VisualAssetTests.cs";"6f20423a7ad92efe6bc629516e9d820dd732084daf6db721b8ae2c7b0febfc20";"Rebuild"
"Assets/_Game/Editor/TierTwoEnemyContentBuilder.cs";"61134a9334a7199905a25f08e527da28a75fdc3b09bcb760f91f67663c13636e";"AssetDatabase.CreateAsset | PrefabUtility.SaveAsPrefabAsset"
