Assetpfad;GUID;Local ID;Meshname;Vertices;Tris;Bounds Center;Bounds Size;Prefab-Referenzen;Szenen;Builder-Kandidaten
"Assets/_Game/Art/Actors/AshRunner/AshRunner3D/AshRunner.glb";"b932d02d318892c49b20d226df0d2b3b";"-4944983783991602753";"AshRunner";"5094";"1698";"(0,0.916893,-0.300313)";"(1.071741,1.8,2.570678)";"Assets/_Game/Prefabs/Actors/3D/AshRunner_3D.prefab | Assets/_Game/Prefabs/Enemies/Forge/AshRunner.prefab";"Assets/_Game/Scenes/EidraForge.unity";"Assets/_Game/Editor/CreatureMeshBuilder.cs"
"Assets/_Game/Art/Actors/CoreGuardian/CoreGuardian3D/CoreGuardian.glb";"9f9caf10cd5ad2d4d815561b1e569cc9";"-9023735903346026133";"CoreGuardian";"3864";"1288";"(0,2.293689,0.320388)";"(3.029126,4.5,2.097087)";"Assets/_Game/Prefabs/Actors/3D/CoreGuardian_3D.prefab | Assets/_Game/Prefabs/Enemies/Forge/CoreGuardian.prefab";"Assets/_Game/Scenes/EidraForge.unity";"Assets/_Game/Editor/CreatureMeshBuilder.cs"
"Assets/_Game/Art/Actors/EmberEater/EmberEater3D/EmberEater.glb";"27aba9d977ff0e34982f0ae1176c507c";"-2320718513700687842";"EmberEater";"4350";"1450";"(0,0.815238,0.155619)";"(1.313829,1.6,1.585143)";"Assets/_Game/Prefabs/Actors/3D/EmberEater_3D.prefab | Assets/_Game/Prefabs/Enemies/Forge/EmberEater.prefab";"Assets/_Game/Scenes/EidraForge.unity";"Assets/_Game/Editor/CreatureMeshBuilder.cs"
"Assets/_Game/Art/Actors/ForgeGuardian/ForgeGuardian3D/ForgeGuardian.glb";"469cdc0e26cdff64286fe38fe24fe50f";"-2031557943163980135";"ForgeGuardian";"3888";"1296";"(-0.061738,1.272866,0.045732)";"(1.571646,2.5,0.853659)";"Assets/_Game/Prefabs/Actors/3D/ForgeGuardian_3D.prefab | Assets/_Game/Prefabs/Enemies/Forge/ForgeGuardian.prefab";"Assets/_Game/Scenes/EidraForge.unity";"Assets/_Game/Editor/EidraForgeEnemyContentBuilder.cs | Assets/_Game/Editor/EidraForgeGeometryBuilder.cs | Assets/_Game/Editor/EidraForgeLichtBuilder.cs | Assets/_Game/Editor/EidraForgeLootAssetBuilder.cs | Assets/_Game/Editor/EidraForgePropBuilder.cs | Assets/_Game/Editor/EidraForgeSceneBuilder.cs | Assets/_Game/Editor/ForgeContainerVisualBuilder.cs | Assets/_Game/Editor/ForgeVisualAssetBuilder.cs"
"Assets/_Game/Art/Actors/Garon/Garon3D/Garon.glb";"61b3a9b8d3efbf44d96406ababd8d434";"-5471906200080913431";"Garon";"6000";"2000";"(0.086135,2.282209,0.345092)";"(3.761227,4.5,6.855828)";"Assets/_Game/Prefabs/Actors/3D/Garon_3D.prefab | Assets/_Game/Prefabs/Bosses/Garon.prefab";"Assets/_Game/Scenes/EidraForge.unity | Assets/_Game/Scenes/Zone_EmberRuins.unity";"Assets/_Game/Editor/CreatureMeshBuilder.cs"
"Assets/_Game/Art/Actors/GraniteShell/GraniteShell3D/GraniteShell.glb";"2c62d83b05e79574086f340fd32b2e1f";"-7900780611823541564";"GraniteShell";"5268";"1756";"(0,1.223343,0.269194)";"(2.303959,2.400089,3.081415)";"Assets/_Game/Prefabs/Actors/3D/GraniteShell_3D.prefab | Assets/_Game/Prefabs/Enemies/TierTwo/GraniteShell.prefab";"Assets/_Game/Scenes/Zone_EmberRuins.unity | Assets/_Game/Scenes/Zone_GreyRifts.unity | Assets/_Game/Scenes/Zone_TwilightGrove.unity | Assets/_Game/Scenes/Zone_VeilMarsh.unity";"Assets/_Game/Editor/CreatureMeshBuilder.cs"
"Assets/_Game/Art/Actors/Ignivar/Ignivar3D/Ignivar.glb";"cd31036a7ebc8804bbbef23f12824217";"-3914213699015356351";"Ignivar";"6342";"2114";"(0,0.506362,-0.150073)";"(0.656905,1.000105,1.30969)";"Assets/_Game/Prefabs/Actors/3D/Ignivar_3D.prefab | Assets/_Game/Resources/Prefabs/Actors/3D/Ignivar_3D.prefab";"";"Assets/_Game/Editor/CreatureMeshBuilder.cs | Assets/_Game/Editor/IgnivarContentBuilder.cs"
"Assets/_Game/Art/Actors/MoorThrower/MoorThrower3D/MoorThrower.glb";"b2d5f5c7b98fc6b4fbe221742c99a735";"3073268351876937425";"MoorThrower";"5208";"1736";"(0.037624,0.968812,0.173199)";"(1.272937,1.9,0.93908)";"Assets/_Game/Prefabs/Actors/3D/MoorThrower_3D.prefab | Assets/_Game/Prefabs/Enemies/TierTwo/MoorThrower.prefab";"Assets/_Game/Scenes/Zone_EmberRuins.unity | Assets/_Game/Scenes/Zone_GreyRifts.unity | Assets/_Game/Scenes/Zone_Marsh.unity | Assets/_Game/Scenes/Zone_TwilightGrove.unity | Assets/_Game/Scenes/Zone_VeilMarsh.unity";"Assets/_Game/Editor/CreatureMeshBuilder.cs"
"Assets/_Game/Art/Actors/Noctarion/Noctarion3D/Noctarion.glb";"b7daee05003967a42a70e50d2f4fb05a";"-4471233225929683468";"Noctarion";"4998";"1666";"(0,0.508919,-0.183947)";"(0.530123,1,1.817168)";"Assets/_Game/Prefabs/Actors/3D/Noctarion_3D.prefab | Assets/_Game/Resources/Prefabs/Actors/3D/Noctarion_3D.prefab";"";"Assets/_Game/Editor/CreatureMeshBuilder.cs | Assets/_Game/Editor/Tests/NoctarionSpriteVisualTests.cs"
"Assets/_Game/Art/Actors/Player/Wanderer3D/Wanderer.glb";"3a8a17a3ea0ef144cb83d049ef83cf7f";"7787800772272108231";"Basis";"2292";"764";"(0,0.9,0.004)";"(0.616,1.796,0.282)";"Assets/_Game/Prefabs/Actors/3D/Player_3D.prefab | Assets/_Game/Prefabs/Player/Player.prefab";"Assets/_Game/Scenes/EidraForge.unity | Assets/_Game/Scenes/HomeBase.unity | Assets/_Game/Scenes/Zone_EmberRuins.unity | Assets/_Game/Scenes/Zone_Greenwood.unity | Assets/_Game/Scenes/Zone_GreyRifts.unity | Assets/_Game/Scenes/Zone_Marsh.unity | Assets/_Game/Scenes/Zone_Quarry.unity | Assets/_Game/Scenes/Zone_TwilightGrove.unity | Assets/_Game/Scenes/Zone_VeilMarsh.unity";"Assets/_Game/Editor/CreatureMeshBuilder.cs | Assets/_Game/Editor/Tests/Wanderer3DAssetTests.cs | Assets/_Game/Editor/Wanderer3DImportDiagnose.cs | Assets/_Game/Editor/Wanderer3DPlayerBuilder.cs"
"Assets/_Game/Art/Actors/Player/Wanderer3D/Wanderer.glb";"3a8a17a3ea0ef144cb83d049ef83cf7f";"-6280153671999149171";"Beine_Eisen";"1332";"444";"(0,0.316,0.0415)";"(0.408,0.628,0.291)";"Assets/_Game/Prefabs/Actors/3D/Player_3D.prefab | Assets/_Game/Prefabs/Player/Player.prefab";"Assets/_Game/Scenes/EidraForge.unity | Assets/_Game/Scenes/HomeBase.unity | Assets/_Game/Scenes/Zone_EmberRuins.unity | Assets/_Game/Scenes/Zone_Greenwood.unity | Assets/_Game/Scenes/Zone_GreyRifts.unity | Assets/_Game/Scenes/Zone_Marsh.unity | Assets/_Game/Scenes/Zone_Quarry.unity | Assets/_Game/Scenes/Zone_TwilightGrove.unity | Assets/_Game/Scenes/Zone_VeilMarsh.unity";"Assets/_Game/Editor/CreatureMeshBuilder.cs | Assets/_Game/Editor/Tests/Wanderer3DAssetTests.cs | Assets/_Game/Editor/Wanderer3DImportDiagnose.cs | Assets/_Game/Editor/Wanderer3DPlayerBuilder.cs"
"Assets/_Game/Art/Actors/Player/Wanderer3D/Wanderer.glb";"3a8a17a3ea0ef144cb83d049ef83cf7f";"-741986473711178320";"Beine_Kupfer";"1092";"364";"(0,0.307,0.0345)";"(0.406,0.61,0.279)";"Assets/_Game/Prefabs/Actors/3D/Player_3D.prefab | Assets/_Game/Prefabs/Player/Player.prefab";"Assets/_Game/Scenes/EidraForge.unity | Assets/_Game/Scenes/HomeBase.unity | Assets/_Game/Scenes/Zone_EmberRuins.unity | Assets/_Game/Scenes/Zone_Greenwood.unity | Assets/_Game/Scenes/Zone_GreyRifts.unity | Assets/_Game/Scenes/Zone_Marsh.unity | Assets/_Game/Scenes/Zone_Quarry.unity | Assets/_Game/Scenes/Zone_TwilightGrove.unity | Assets/_Game/Scenes/Zone_VeilMarsh.unity";"Assets/_Game/Editor/CreatureMeshBuilder.cs | Assets/_Game/Editor/Tests/Wanderer3DAssetTests.cs | Assets/_Game/Editor/Wanderer3DImportDiagnose.cs | Assets/_Game/Editor/Wanderer3DPlayerBuilder.cs"
"Assets/_Game/Art/Actors/Player/Wanderer3D/Wanderer.glb";"3a8a17a3ea0ef144cb83d049ef83cf7f";"2303315579832941217";"Beine_Stoff";"900";"300";"(0,0.22,0.034)";"(0.366,0.436,0.252)";"Assets/_Game/Prefabs/Actors/3D/Player_3D.prefab | Assets/_Game/Prefabs/Player/Player.prefab";"Assets/_Game/Scenes/EidraForge.unity | Assets/_Game/Scenes/HomeBase.unity | Assets/_Game/Scenes/Zone_EmberRuins.unity | Assets/_Game/Scenes/Zone_Greenwood.unity | Assets/_Game/Scenes/Zone_GreyRifts.unity | Assets/_Game/Scenes/Zone_Marsh.unity | Assets/_Game/Scenes/Zone_Quarry.unity | Assets/_Game/Scenes/Zone_TwilightGrove.unity | Assets/_Game/Scenes/Zone_VeilMarsh.unity";"Assets/_Game/Editor/CreatureMeshBuilder.cs | Assets/_Game/Editor/Tests/Wanderer3DAssetTests.cs | Assets/_Game/Editor/Wanderer3DImportDiagnose.cs | Assets/_Game/Editor/Wanderer3DPlayerBuilder.cs"
"Assets/_Game/Art/Actors/Player/Wanderer3D/Wanderer.glb";"3a8a17a3ea0ef144cb83d049ef83cf7f";"65674248027005729";"Haende_Eisen";"696";"232";"(0,0.908,0.031)";"(0.636,0.256,0.134)";"Assets/_Game/Prefabs/Actors/3D/Player_3D.prefab | Assets/_Game/Prefabs/Player/Player.prefab";"Assets/_Game/Scenes/EidraForge.unity | Assets/_Game/Scenes/HomeBase.unity | Assets/_Game/Scenes/Zone_EmberRuins.unity | Assets/_Game/Scenes/Zone_Greenwood.unity | Assets/_Game/Scenes/Zone_GreyRifts.unity | Assets/_Game/Scenes/Zone_Marsh.unity | Assets/_Game/Scenes/Zone_Quarry.unity | Assets/_Game/Scenes/Zone_TwilightGrove.unity | Assets/_Game/Scenes/Zone_VeilMarsh.unity";"Assets/_Game/Editor/CreatureMeshBuilder.cs | Assets/_Game/Editor/Tests/Wanderer3DAssetTests.cs | Assets/_Game/Editor/Wanderer3DImportDiagnose.cs | Assets/_Game/Editor/Wanderer3DPlayerBuilder.cs"
"Assets/_Game/Art/Actors/Player/Wanderer3D/Wanderer.glb";"3a8a17a3ea0ef144cb83d049ef83cf7f";"248537000944145269";"Haende_Kupfer";"768";"256";"(0,0.905,0.032)";"(0.638,0.25,0.134)";"Assets/_Game/Prefabs/Actors/3D/Player_3D.prefab | Assets/_Game/Prefabs/Player/Player.prefab";"Assets/_Game/Scenes/EidraForge.unity | Assets/_Game/Scenes/HomeBase.unity | Assets/_Game/Scenes/Zone_EmberRuins.unity | Assets/_Game/Scenes/Zone_Greenwood.unity | Assets/_Game/Scenes/Zone_GreyRifts.unity | Assets/_Game/Scenes/Zone_Marsh.unity | Assets/_Game/Scenes/Zone_Quarry.unity | Assets/_Game/Scenes/Zone_TwilightGrove.unity | Assets/_Game/Scenes/Zone_VeilMarsh.unity";"Assets/_Game/Editor/CreatureMeshBuilder.cs | Assets/_Game/Editor/Tests/Wanderer3DAssetTests.cs | Assets/_Game/Editor/Wanderer3DImportDiagnose.cs | Assets/_Game/Editor/Wanderer3DPlayerBuilder.cs"
"Assets/_Game/Art/Actors/Player/Wanderer3D/Wanderer.glb";"3a8a17a3ea0ef144cb83d049ef83cf7f";"-475880294910982335";"Haende_Stoff";"576";"192";"(0,0.968,0.0295)";"(0.624,0.24,0.125)";"Assets/_Game/Prefabs/Actors/3D/Player_3D.prefab | Assets/_Game/Prefabs/Player/Player.prefab";"Assets/_Game/Scenes/EidraForge.unity | Assets/_Game/Scenes/HomeBase.unity | Assets/_Game/Scenes/Zone_EmberRuins.unity | Assets/_Game/Scenes/Zone_Greenwood.unity | Assets/_Game/Scenes/Zone_GreyRifts.unity | Assets/_Game/Scenes/Zone_Marsh.unity | Assets/_Game/Scenes/Zone_Quarry.unity | Assets/_Game/Scenes/Zone_TwilightGrove.unity | Assets/_Game/Scenes/Zone_VeilMarsh.unity";"Assets/_Game/Editor/CreatureMeshBuilder.cs | Assets/_Game/Editor/Tests/Wanderer3DAssetTests.cs | Assets/_Game/Editor/Wanderer3DImportDiagnose.cs | Assets/_Game/Editor/Wanderer3DPlayerBuilder.cs"
"Assets/_Game/Art/Actors/Player/Wanderer3D/Wanderer.glb";"3a8a17a3ea0ef144cb83d049ef83cf7f";"-6160407663649989419";"Harnisch_Eisen";"1602";"534";"(0,1.03,0.0055)";"(0.586,0.896,0.319)";"Assets/_Game/Prefabs/Actors/3D/Player_3D.prefab | Assets/_Game/Prefabs/Player/Player.prefab";"Assets/_Game/Scenes/EidraForge.unity | Assets/_Game/Scenes/HomeBase.unity | Assets/_Game/Scenes/Zone_EmberRuins.unity | Assets/_Game/Scenes/Zone_Greenwood.unity | Assets/_Game/Scenes/Zone_GreyRifts.unity | Assets/_Game/Scenes/Zone_Marsh.unity | Assets/_Game/Scenes/Zone_Quarry.unity | Assets/_Game/Scenes/Zone_TwilightGrove.unity | Assets/_Game/Scenes/Zone_VeilMarsh.unity";"Assets/_Game/Editor/CreatureMeshBuilder.cs | Assets/_Game/Editor/Tests/Wanderer3DAssetTests.cs | Assets/_Game/Editor/Wanderer3DImportDiagnose.cs | Assets/_Game/Editor/Wanderer3DPlayerBuilder.cs"
